,area,avg-price
0,Академии наук,327.2
1,Аэродромная,224.4
2,Брилевичи,259.4
3,Валерьяново,200.0
4,Велозавод,280.0
5,Восгоградская,360.0
6,Грушевка,295.7
7,Домбровка,283.0
8,ЖК Каскад,427.8
9,ЖК маяк минска,300.7
10,Запад,225.2
11,Запорожское кольцо,225.6
12,Золотая горка,307.5
13,Каменная горка,206.1
14,Киевский сквер,392.5
15,Красный бор,299.4
16,Курасовщина,280.5
17,Логойский тракт,277.3
18,Лошица,250.3
19,Малиновка,177.9
20,Михалово,240.0
21,Московская,292.4
22,Новинки,258.2
23,Орловская,220.8
24,Пулихова,264.1
25,Пушкинская,312.0
26,Радужный (Дрозды),497.1
27,Раковское шоссе,193.3
28,Розы люксембург,305.1
29,Сельхоз посёлок,353.5
30,Серебрянка,258.3
31,Серова,200.0
32,Слепянское вод.хр.,450.0
33,Сторожёвка,452.1
34,Сухарево,214.7
35,Уральская,213.3
36,Харьковская,225.2
37,Центр,380.6
38,Цна,400.0
39,Челюскинтцев,286.2
40,Чижовка,180.8
41,Щётовка,350.0
42,Юго-Запад,283.3
43,ангарская,174.5
44,великий лес,205.6
45,веснянка,325.4
46,восток,253.5
47,дражня,260.0
48,западный посёлок,306.0
49,зелёный луг,171.1
50,камаровка,252.2
51,копище,190.0
52,кунцевщина,170.4
53,лебяжый,392.5
54,масюкавщина,200.0
55,маяковского,196.4
56,новая боровая,292.5
57,озерице,200.0
58,посёлок Автозаводская,381.7
59,район площади ванеева,206.0
60,северный посёлок,350.0
61,слепянка,658.3
62,степянка,140.0
63,стиклево,140.0
64,тракторозаводской посёлок,158.3
65,универсам Рига,268.2
66,уручье,298.5
67,шабаны,246.7
