,address,zip-code,lat,lng
0,"ул. Московская,16",220001,53.887919,27.5381191
1,"ул. Сторожевская, 8",220002,53.9129489,27.5554527
2,"ул. Одинцова, 113",220003,53.9006514,27.4275318
3,"ул. М.Танка,36, к.2,",220004,53.9086282,27.5294632
4,"пр. Независимости, 46",220005,53.91281499999999,27.5807098
5,"ул. Маяковского, 8",220006,53.8835694,27.5664649
6,"ул. Жуковского, 6, к.2",220007,53.88244659999999,27.5497952
7,"пр. Независимости, 20",220008,53.8999924,27.5586274
8,"ул. Чеботарева, 1/6",220009,53.8899568,27.6112189
9,"ул. Советская,11",220010,53.896201,27.5448597
10,"Привокзальная пл.,3",220011,53.8906326,27.550621
11,"пр. Независимости, 91",220012,53.9238362,27.6102492
12,"ул. Я.Коласа, 31",220013,53.9242816,27.5911224
13,"ул. С.Ковалевской, 61",220014,53.8670165,27.5112945
14,"ул. Я.Мавра, 33а",220015,53.8970339,27.4914757
15,"ул. К.Маркса, 38",220016,53.9003685,27.5644425
16,"ул. Кунцевщина, 35",220017,53.9144154,27.4348301
17,"ул. Якубовского, 32",220018,53.8971674,27.4521196
18,"ул. Лобанка, 109",220019,53.8822002,27.4324538
19,"ул. Л. Украинки, 22",220020,53.9311816,27.490671
20,"пр. Партизанский, 107",220021,53.8693841,27.650115
21,"ул. Шаранговича, 48",220022,53.8829154,27.4395681
22,"пр. Независимости, 103",220023,53.9280942,27.626541
23,"ул. Асаналиева, 40, к.1",220024,53.8509136,27.5456794
24,"ул. Есенина, 10",220025,53.8495964,27.4652115
25,"ул. Жилуновича, 26",220026,53.8696759,27.6269446
26,"ул. Семашко, 5",220027,53.8606217,27.4979263
27,"ул. Маяковского, 164",220028,53.8633581,27.5708799
28,"ул.Коммунистическая, 3",220029,53.91166639999999,27.5651746
29,"ул. Кирова, 33",220030,53.8989762,27.5635574
30,"ул. Славянская, 4",220031,53.9364251,27.7200152
31,"ул. Филимонова, 45",220032,53.922778,27.636838
32,"ул. Рыбалко, 2",220033,53.8849653,27.5943195
33,"ул. Козлова, 6",220034,53.90838249999999,27.5817171
34,"ул. Тарханова, 11",220035,53.9180661,27.529327
35,"ул. Коржа, 11",220036,53.8950403,27.5203662
36,"ул. Уральская, 16",220037,53.9023605,27.6171665
37,"ул. Долгобродская, 4",220038,53.90108129999999,27.6015507
38,"ул. Брилевская, 14",220039,53.8767896,27.5316228
39,"ул. Беды, 19",220040,53.9325491,27.588974
40,"ул. Рафиева, 44",220041,53.8653621,27.4531202
41,"пр.Дзержинского, 91 (супермаркет ""Алми"")",220042,53.85964560000001,27.4819672
42,"пр. Независимости, 95",220043,53.925901,27.6166866
43,"ул. Барамзиной, 16",220044,53.8769185,27.9023403
44,"ул. Наполеона Орды, 23",220045,53.8437194,27.4815971
45,"ул. Солтыса, 189",220046,53.8991201,27.6495517
46,"ул. Нестерова, 51",220047,53.8847108,27.6832536
47,"ул. Романовская Слобода, 24",220048,53.904034,27.5440831
48,"ул.Кнорина, 16",220049,53.9351814,27.6137549
49,"ул. Рафиева, 93, к.4",220051,53.8597499,27.4377264
50,"ул. Брыля, 30",220052,53.8800006,27.4850347
51,"Старовиленский тр., 28/1",220053,53.9280284,27.5449867
52,тер. аэропорта Минск-2,220054,53.88920299999999,28.0342349
53,"ул. Жиновича, 21",220055,53.9232234,27.4425548
54,"ул. Героев 120 дивизии, 9",220056,53.9483484,27.70841
55,"ул.Гуртьева, 7",220057,53.95884419999999,27.7392823
56,"ул. Налибокская, 36     (ТЦ ""Квадро"")",220058,53.9277112,27.4327966
57,"ул. Панченко, 60",220059,53.8899465,27.4157998
58,"ул. Вокзальная, 22",220060,53.8891603,27.5511594
59,"ул. Каменногорская, 3 (ТЦ ""Горка Дом"")",220061,53.91109290000001,27.4152788
60,"пр. Победителей, 123",220062,53.938932,27.4705863
61,"ул. Нёманская, 35",220063,53.91415379999999,27.4260906
62,"ул. Ландера, 36а",220064,53.84221609999999,27.493085
63,"ул. Аэродромная, 7",220065,53.8732942,27.5382427
64,"ул. Ташкентская, 16",220066,53.8408836,27.6308312
65,"ул. Шпилевского, 54",220067,53.846539,27.56296
66,"бул. Шевченко, 17",220068,53.92849769999999,27.5548442
67,"пр. Дзержинского, 11",220069,53.8886185,27.5209116
68,"ул. Ванеева,18",220070,53.8819228,27.6121992
69,"ул. Смолячкова, 21",220071,53.9117659,27.5879681
70,"ул. Академическая, 1",220072,53.9197326,27.5981927
71,"ул. Ольшевского, 11",220073,53.9137108,27.5043933
72,"ул. Берута, 24, к.1",220074,53.8988263,27.5060711
73,"ул. Бачило, 12",220075,53.84253260000001,27.700881
74,"ул. Голодеда, 49",220077,53.8369855,27.6223192
75,"ул. Маршала Лосика, 31",220078,53.8735393,27.4418273
76,"ул. Кальварийская, 44",220079,53.9082458,27.5138828
77,"ул. Сердича,10",220082,53.9117454,27.4892871
78,"пр. Рокоссовского, 113",220085,53.8582219,27.6151604
79,"ул. Славинского, 45",220086,53.9387814,27.6420066
80,"ул. Пулихова, 19",220088,53.897742,27.5794415
81,"ул. Брыля, 30",220089,53.8800006,27.4850347
82,"Логойский тракт, 27",220090,53.9527854,27.6175073
83,"пр.Пушкина, 28",220092,53.9054632,27.4973685
84,"ул. Ольшевского, 57",220093,53.9205461,27.4929214
85,"пр. Рокоссовского, 33",220094,53.8704374,27.6026935
86,"ул. Якубова, 66,к.2",220095,53.8632962,27.587141
87,"ул. Голодеда, 7",220096,53.8387407,27.6472342
88,"ул. Слободская, 15",220098,53.860778,27.4299776
89,"ул. Бресткая, 56, к.1",220099,53.8557354,27.5202933
90,"ул. Богдановича, 78",220100,53.92825999999999,27.5745222
91,"ул. Малинина, 28, к.5",220101,53.850789,27.606042
92,"пр. Партизанский, 147",220102,53.8649277,27.6663266
93,"ул. Калиновского, 55",220103,53.9472118,27.6290917
94,"ул. Жудро, 59",220104,53.9209063,27.4795343
95,"пр. Партизанский, 34, к.1",220107,53.8768551,27.6185083
96,"ул. Корженевского, 25",220108,53.846514,27.5007829
