,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,"Scarborough, Malvern",43.806686299999996,-79.19435340000003,Wendy's,43.80744841934757,-79.19905558052072,Fast Food Restaurant
1,"Scarborough, Port Union",43.7845351,-79.16049709999999,Royal Canadian Legion,43.782533328382975,-79.16308473261681,Bar
2,"Scarborough, Port Union",43.7845351,-79.16049709999999,Scarborough Historical Society,43.78875526434558,-79.162437915802,History Museum
3,"Scarborough, West Hill",43.7635726,-79.1887115,Swiss Chalet Rotisserie & Grill,43.76769708292701,-79.1899135003439,Pizza Place
4,"Scarborough, West Hill",43.7635726,-79.1887115,G & G Electronics,43.765309,-79.191537,Electronics Store
5,"Scarborough, West Hill",43.7635726,-79.1887115,Big Bite Burrito,43.766299084470795,-79.19071980583941,Mexican Restaurant
6,"Scarborough, West Hill",43.7635726,-79.1887115,Enterprise Rent-A-Car,43.76407570000001,-79.1934057,Rental Car Location
7,"Scarborough, West Hill",43.7635726,-79.1887115,Woburn Medical Centre,43.766631153138455,-79.19228553771974,Medical Center
8,"Scarborough, West Hill",43.7635726,-79.1887115,Lawrence Ave E & Kingston Rd,43.767703999999995,-79.18949,Intersection
9,"Scarborough, West Hill",43.7635726,-79.1887115,Eggsmart,43.7678,-79.190466,Breakfast Spot
10,Woburn,43.7709921,-79.21691740000001,Starbucks,43.77003720162522,-79.22115586641958,Coffee Shop
11,Woburn,43.7709921,-79.21691740000001,Tim Hortons,43.7708270725628,-79.22307810384153,Coffee Shop
12,Woburn,43.7709921,-79.21691740000001,Korean Grill House,43.770811729135396,-79.21450208834013,Korean Restaurant
13,Woburn,43.7709921,-79.21691740000001,Al-Hamd Biryani & Pizza,43.76758463973194,-79.21956957790067,Indian Restaurant
14,Cedarbrae,43.773136,-79.23947609999998,Federick Restaurant,43.77469659057996,-79.24114242818267,Hakka Restaurant
15,Cedarbrae,43.773136,-79.23947609999998,Drupati's Roti & Doubles,43.775222138791534,-79.2416776100103,Caribbean Restaurant
16,Cedarbrae,43.773136,-79.23947609999998,Centennial Recreation Centre,43.774593308903405,-79.23649962433034,Athletics & Sports
17,Cedarbrae,43.773136,-79.23947609999998,Thai One On,43.77446763641414,-79.24126833717742,Thai Restaurant
18,Cedarbrae,43.773136,-79.23947609999998,TD Canada Trust,43.77495189482367,-79.24134314060211,Bank
19,Cedarbrae,43.773136,-79.23947609999998,Petro-Canada,43.774106,-79.24309699999998,Gas Station
20,Cedarbrae,43.773136,-79.23947609999998,B&A Bakery,43.774390743891146,-79.24387684648542,Bakery
21,Cedarbrae,43.773136,-79.23947609999998,Popeyes Louisiana Kitchen,43.7759298356196,-79.23532833470263,Fried Chicken Joint
22,Scarborough Village,43.7447342,-79.23947609999998,McCowan Park,43.745088512128156,-79.239335687338,Playground
23,Scarborough Village,43.7447342,-79.23947609999998,Tumbe Cafe,43.744058,-79.24402099999998,Grocery Store
24,"Scarborough, Kennedy Park",43.7279292,-79.26202940000002,Giant Tiger,43.72744662939135,-79.26624035854762,Department Store
25,"Scarborough, Kennedy Park",43.7279292,-79.26202940000002,Tim Hortons,43.72689508691926,-79.26615692675114,Coffee Shop
26,"Scarborough, Kennedy Park",43.7279292,-79.26202940000002,Bros. CONVENIENCE,43.72778143829621,-79.26570835903846,Convenience Store
27,"Scarborough, Kennedy Park",43.7279292,-79.26202940000002,Dollarama,43.72659620252377,-79.26682995710473,Discount Store
28,"Scarborough, Kennedy Park",43.7279292,-79.26202940000002,Kennedy Station Passenger Pickup,43.73200926072711,-79.26453709017373,Bus Station
29,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Dairy Queen,43.710377704650135,-79.29070115089418,Ice Cream Shop
30,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Warden Ave & St. Clair Ave E,43.71205669347002,-79.28100496530533,Intersection
31,"Scarborough, Oakridge",43.711111700000004,-79.2845772,TTC Bus #68 Warden,43.71177810997778,-79.27971412913773,Bus Line
32,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Warden Subway Station,43.711229055719826,-79.27960224480388,Metro Station
33,"Scarborough, Oakridge",43.711111700000004,-79.2845772,TTC Bus 102 Markham Road,43.711381420906115,-79.27958752636661,Bus Line
34,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Warden Station Bus Loop,43.71124084776515,-79.27957605867647,Bus Station
35,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Bakery On The Go,43.71127090520577,-79.27950587661705,Bakery
36,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Cafe on the go,43.71115104374147,-79.2794692351292,Bakery
37,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Warden Woods Park,43.71052711027375,-79.27896551895955,Park
38,"Scarborough, Oakridge",43.711111700000004,-79.2845772,Clairlea Futbol Centre,43.715234291845036,-79.28650639185544,Soccer Field
39,"Scarborough, Scarborough Village West",43.716316,-79.23947609999998,Have A Nap Motel,43.718256,-79.240135,Motel
40,"Scarborough, Scarborough Village West",43.716316,-79.23947609999998,Vincent's Spot,43.71700152544261,-79.24235338465942,American Restaurant
41,"Scarborough, Cliffside West",43.692657000000004,-79.2648481,The Birchcliff,43.69166644406541,-79.26453158481681,Café
42,"Scarborough, Cliffside West",43.692657000000004,-79.2648481,Birchmount Community Centre,43.69517507509799,-79.26216087070237,General Entertainment
43,"Scarborough, Cliffside West",43.692657000000004,-79.2648481,torontochristmastree,43.6905745,-79.26267130000002,Farm
44,"Scarborough, Cliffside West",43.692657000000004,-79.2648481,Scarborough Gardens,43.694646519216214,-79.26223031725522,Skating Rink
45,"Scarborough, Cliffside West",43.692657000000004,-79.2648481,Birchmount Stadium,43.69532286771263,-79.26129341125487,College Stadium
46,"Scarborough, Wexford Heights",43.7574096,-79.27330400000002,Kairali,43.75491473929184,-79.27694504646365,Indian Restaurant
47,"Scarborough, Wexford Heights",43.7574096,-79.27330400000002,Kim Kim restaurant,43.75383283792732,-79.27661122245037,Chinese Restaurant
48,"Scarborough, Wexford Heights",43.7574096,-79.27330400000002,Karaikudi Chettinad South Indian Restaurant,43.756041539453136,-79.27627591942013,Indian Restaurant
49,"Scarborough, Wexford Heights",43.7574096,-79.27330400000002,Big Al's Pet Supercentre,43.75927894411596,-79.27832544749344,Pet Store
50,"Scarborough, Wexford Heights",43.7574096,-79.27330400000002,Pho Vietnam,43.75777030564719,-79.27857193068989,Vietnamese Restaurant
51,"Scarborough, Wexford",43.750071500000004,-79.2958491,Crown Pastries,43.746097999999996,-79.293142,Bakery
52,"Scarborough, Wexford",43.750071500000004,-79.2958491,Wexford Restaurant,43.74603004459721,-79.29384330907153,Breakfast Spot
53,"Scarborough, Wexford",43.750071500000004,-79.2958491,Subway® Restaurants,43.74626725195952,-79.29319313129919,Sandwich Place
54,"Scarborough, Wexford",43.750071500000004,-79.2958491,Lebanese bakery,43.74670137305754,-79.29289639281615,Middle Eastern Restaurant
55,"Scarborough, Wexford",43.750071500000004,-79.2958491,Wexford Heights Plaza,43.746135674579364,-79.29378248248864,Shopping Mall
56,"Scarborough, Wexford",43.750071500000004,-79.2958491,Scarborough Garage Door Repair,43.75128820404064,-79.30150777101517,Auto Garage
